"Name","Type","ResourceGroup","Status","Action","AllLogsSupported","PostStatus","Error"
"AVD-Pooled","hostpools","AVD-Pooled-MultisessionVMs-rg","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"OLR-AppSharePool","hostpools","OLR-RG","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"Personal-Pool","hostpools","OLR-RG","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"OLR-EntraID-HostPool","hostpools","olr-AVD-Entra-multissesion","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"tarrant-shared-pool","hostpools","Tarrant","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"AVD-Pooled-DAG","applicationgroups","AVD-Pooled-MultisessionVMs-rg","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"OLR-AppSharePool-DAG","applicationgroups","OLR-RG","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"OLR-Default-Apps","applicationgroups","OLR-RG","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"Personal-Pool-DAG","applicationgroups","OLR-RG","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"OLR-EntraID-HostPool-DAG","applicationgroups","olr-AVD-Entra-multissesion","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"tarrant-shared-pool-DAG","applicationgroups","Tarrant","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"Tarrant-Apps","applicationgroups","Tarrant","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"PooledWorkstations","workspaces","AVD-Pooled-MultisessionVMs-rg","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"PersonalDesktops","workspaces","AVD-Personal-rg","Success","create","False","Enabled (not allLogs)",""
"AppDelivery-group","workspaces","OLR-RG","Success","create","False","Enabled (not allLogs)",""
"EntraAD","workspaces","olr-AVD-Entra-multissesion","Success","create","False","Enabled (not allLogs)",""
"Tarrant-App","workspaces","Tarrant","Success","create","False","Enabled (not allLogs)",""
"Tarran-Voting-Desktops","workspaces","Tarrant","Success","create","False","Enabled (not allLogs)",""
